"time","city","latitude","longitude","european_aqi","pm10","pm2_5","carbon_monoxide","nitrogen_dioxide","sulphur_dioxide","ozone","ammonia","uv_index_clear_sky","uv_index","dust","aerosol_optical_depth","alder_pollen","birch_pollen","grass_pollen","mugwort_pollen","olive_pollen","ragweed_pollen"
"2024-07-01 00:00:00+00:00","Paris",48.8566,2.3522,17.600000381469727,7.400000095367432,5.900000095367432,137.0,7.199999809265137,0.6000000238418579,44.0,0.8999999761581421,0.0,0.0,0.0,0.23999999463558197,0.0,0.0,0.699999988079071,0.699999988079071,0.0,0.0
"2024-07-01 01:00:00+00:00","Paris",48.8566,2.3522,19.600000381469727,7.699999809265137,6.800000190734863,135.0,7.0,0.699999988079071,49.0,1.0,0.0,0.0,0.0,0.2199999988079071,0.0,0.0,0.5,7.699999809265137,0.0,0.0
"2024-07-01 02:00:00+00:00","Paris",48.8566,2.3522,19.19999885559082,8.300000190734863,7.0,136.0,6.400000095367432,0.699999988079071,48.0,1.100000023841858,0.0,0.0,0.0,0.18000000715255737,0.0,0.0,0.20000000298023224,7.900000095367432,0.0,0.0
"2024-07-01 03:00:00+00:00","Paris",48.8566,2.3522,18.0,8.5,6.699999809265137,140.0,6.900000095367432,0.800000011920929,45.0,1.100000023841858,0.0,0.0,0.0,0.17000000178813934,0.0,0.0,0.5,8.5,0.0,0.0
"2024-07-01 04:00:00+00:00","Paris",48.8566,2.3522,16.399999618530273,8.899999618530273,8.0,142.0,9.100000381469727,0.8999999761581421,41.0,1.2999999523162842,0.0,0.0,0.0,0.1899999976158142,0.0,0.0,0.30000001192092896,9.5,0.0,0.0
"2024-07-01 05:00:00+00:00","Paris",48.8566,2.3522,15.516666412353516,10.0,8.699999809265137,166.0,15.800000190734863,1.399999976158142,38.0,1.2000000476837158,0.20000000298023224,0.15000000596046448,0.0,0.23999999463558197,0.0,0.0,0.5,8.899999618530273,0.0,0.0
"2024-07-01 06:00:00+00:00","Paris",48.8566,2.3522,16.399999618530273,12.0,9.600000381469727,175.0,17.799999237060547,1.7000000476837158,41.0,1.2000000476837158,0.6000000238418579,0.44999998807907104,0.0,0.25999999046325684,0.0,0.0,7.599999904632568,10.5,0.0,0.0
"2024-07-01 07:00:00+00:00","Paris",48.8566,2.3522,16.799999237060547,14.0,11.300000190734863,175.0,14.800000190734863,1.7000000476837158,42.0,1.2000000476837158,1.2999999523162842,1.149999976158142,0.0,0.25999999046325684,0.0,0.0,10.899999618530273,10.100000381469727,0.0,0.0
"2024-07-01 08:00:00+00:00","Paris",48.8566,2.3522,18.799999237060547,12.899999618530273,9.199999809265137,163.0,10.899999618530273,1.2999999523162842,47.0,1.2000000476837158,2.450000047683716,2.049999952316284,0.0,0.23999999463558197,0.0,0.0,12.899999618530273,8.899999618530273,0.0,0.0
"2024-07-01 09:00:00+00:00","Paris",48.8566,2.3522,21.600000381469727,10.699999809265137,8.800000190734863,151.0,8.600000381469727,1.0,54.0,1.5,3.8499999046325684,2.700000047683716,0.0,0.23999999463558197,0.0,0.0,17.0,9.300000190734863,0.0,0.0
"2024-07-01 10:00:00+00:00","Paris",48.8566,2.3522,26.39999771118164,10.399999618530273,7.599999904632568,146.0,7.0,0.699999988079071,66.0,1.600000023841858,5.199999809265137,3.5,0.0,0.23999999463558197,0.0,0.0,17.399999618530273,9.399999618530273,0.0,0.0
"2024-07-01 11:00:00+00:00","Paris",48.8566,2.3522,27.600000381469727,9.699999809265137,6.900000095367432,141.0,5.599999904632568,0.699999988079071,69.0,1.7000000476837158,6.0,2.950000047683716,0.0,0.25999999046325684,0.0,0.0,17.600000381469727,9.600000381469727,0.0,0.0
"2024-07-01 12:00:00+00:00","Paris",48.8566,2.3522,30.799999237060547,9.0,6.800000190734863,139.0,5.800000190734863,0.699999988079071,77.0,1.899999976158142,6.300000190734863,2.6500000953674316,0.0,0.25,0.0,0.0,15.399999618530273,9.600000381469727,0.0,0.0
"2024-07-01 13:00:00+00:00","Paris",48.8566,2.3522,30.799999237060547,7.599999904632568,5.599999904632568,138.0,5.5,0.6000000238418579,77.0,1.7999999523162842,5.800000190734863,3.1500000953674316,0.0,0.25,0.0,0.0,15.399999618530273,9.600000381469727,0.0,0.0
"2024-07-01 14:00:00+00:00","Paris",48.8566,2.3522,30.399999618530273,7.599999904632568,5.0,139.0,5.599999904632568,0.6000000238418579,76.0,1.600000023841858,4.699999809265137,2.75,0.0,0.25,0.0,0.0,17.600000381469727,9.899999618530273,0.0,0.0
"2024-07-01 15:00:00+00:00","Paris",48.8566,2.3522,29.200000762939453,7.900000095367432,5.0,136.0,6.400000095367432,0.6000000238418579,73.0,1.399999976158142,3.3499999046325684,1.9500000476837158,0.0,0.23999999463558197,0.0,0.0,19.299999237060547,9.699999809265137,0.0,0.0
"2024-07-01 16:00:00+00:00","Paris",48.8566,2.3522,29.200000762939453,8.399999618530273,5.5,134.0,5.900000095367432,0.6000000238418579,73.0,1.399999976158142,2.049999952316284,1.600000023841858,0.0,0.2199999988079071,0.0,0.0,21.0,9.699999809265137,0.0,0.0
"2024-07-01 17:00:00+00:00","Paris",48.8566,2.3522,28.399999618530273,9.699999809265137,6.0,137.0,7.099999904632568,0.6000000238418579,71.0,1.5,1.0,0.8500000238418579,0.0,0.23000000417232513,0.0,0.0,21.399999618530273,11.0,0.0,0.0
