"time","city","latitude","longitude","european_aqi","pm10","pm2_5","carbon_monoxide","nitrogen_dioxide","sulphur_dioxide","ozone","ammonia","uv_index_clear_sky","uv_index","dust","aerosol_optical_depth","alder_pollen","birch_pollen","grass_pollen","mugwort_pollen","olive_pollen","ragweed_pollen"
"2025-06-01 00:00:00+00:00","Paris",48.8566,2.3522,19.19999885559082,8.199999809265137,5.300000190734863,126.0,7.300000190734863,0.4000000059604645,48.0,2.299999952316284,0.0,0.0,1.0,0.3499999940395355,0.0,0.10000000149011612,20.0,0.0,0.699999988079071,0.0
"2025-06-01 01:00:00+00:00","Paris",48.8566,2.3522,17.200000762939453,8.100000381469727,4.699999809265137,127.0,8.5,0.5,43.0,2.299999952316284,0.0,0.0,1.0,0.36000001430511475,0.0,0.0,14.800000190734863,0.0,0.5,0.0
"2025-06-01 02:00:00+00:00","Paris",48.8566,2.3522,16.0,8.800000190734863,4.800000190734863,127.0,8.899999618530273,0.6000000238418579,40.0,2.200000047683716,0.0,0.0,1.0,0.3100000023841858,0.0,0.0,9.800000190734863,0.0,0.10000000149011612,0.0
"2025-06-01 03:00:00+00:00","Paris",48.8566,2.3522,15.199999809265137,9.199999809265137,6.0,130.0,9.300000190734863,0.699999988079071,38.0,2.0,0.0,0.0,0.0,0.2800000011920929,0.0,0.0,7.099999904632568,0.0,0.10000000149011612,0.0
"2025-06-01 04:00:00+00:00","Paris",48.8566,2.3522,14.40000057220459,9.800000190734863,7.0,131.0,10.5,1.0,36.0,1.899999976158142,0.0,0.0,0.0,0.2800000011920929,0.0,0.0,6.199999809265137,0.0,0.0,0.0
"2025-06-01 05:00:00+00:00","Paris",48.8566,2.3522,13.72499942779541,10.5,7.5,165.0,10.0,1.5,33.0,1.899999976158142,0.20000000298023224,0.10000000149011612,0.0,0.28999999165534973,0.0,0.0,5.400000095367432,0.0,0.0,0.0
"2025-06-01 06:00:00+00:00","Paris",48.8566,2.3522,13.600000381469727,10.800000190734863,6.599999904632568,199.0,10.199999809265137,1.7999999523162842,34.0,1.7999999523162842,0.6499999761581421,0.4000000059604645,0.0,0.2800000011920929,0.0,0.0,8.399999618530273,0.0,0.0,0.0
"2025-06-01 07:00:00+00:00","Paris",48.8566,2.3522,13.600000381469727,10.600000381469727,6.300000190734863,204.0,10.0,1.5,34.0,1.899999976158142,1.600000023841858,1.0,0.0,0.23999999463558197,0.0,0.0,4.199999809265137,0.0,0.0,0.0
"2025-06-01 08:00:00+00:00","Paris",48.8566,2.3522,18.399999618530273,7.900000095367432,5.300000190734863,198.0,8.199999809265137,1.2000000476837158,46.0,1.600000023841858,2.950000047683716,2.200000047683716,0.0,0.23000000417232513,0.0,0.0,7.099999904632568,0.0,0.0,0.0
"2025-06-01 09:00:00+00:00","Paris",48.8566,2.3522,21.19999885559082,8.600000381469727,4.5,191.0,7.599999904632568,1.0,53.0,1.600000023841858,4.349999904632568,3.6500000953674316,0.0,0.28999999165534973,0.0,0.0,8.199999809265137,0.0,0.0,0.0
"2025-06-01 10:00:00+00:00","Paris",48.8566,2.3522,24.0,7.300000190734863,4.300000190734863,174.0,5.800000190734863,0.699999988079071,60.0,1.5,5.550000190734863,4.449999809265137,0.0,0.36000001430511475,0.0,0.0,13.600000381469727,0.0,0.0,0.0
"2025-06-01 11:00:00+00:00","Paris",48.8566,2.3522,27.200000762939453,6.099999904632568,4.300000190734863,152.0,4.599999904632568,0.4000000059604645,68.0,1.5,6.25,3.6500000953674316,0.0,0.38999998569488525,0.0,0.0,20.899999618530273,0.0,0.0,0.0
"2025-06-01 12:00:00+00:00","Paris",48.8566,2.3522,26.80000114440918,5.199999809265137,4.0,151.0,4.199999809265137,0.4000000059604645,67.0,1.600000023841858,6.75,1.5499999523162842,0.0,0.33000001311302185,0.0,0.0,27.0,0.0,0.0,0.0
"2025-06-01 13:00:00+00:00","Paris",48.8566,2.3522,28.80000114440918,5.099999904632568,3.5999999046325684,145.0,4.0,0.30000001192092896,72.0,1.899999976158142,6.0,2.8499999046325684,0.0,0.33000001311302185,0.0,0.0,29.5,0.0,0.0,0.0
"2025-06-01 14:00:00+00:00","Paris",48.8566,2.3522,29.600000381469727,5.0,3.700000047683716,145.0,4.599999904632568,0.4000000059604645,74.0,1.7999999523162842,4.75,3.25,0.0,0.27000001072883606,0.0,0.0,31.399999618530273,0.0,0.0,0.0
"2025-06-01 15:00:00+00:00","Paris",48.8566,2.3522,29.600000381469727,5.5,3.799999952316284,146.0,5.300000190734863,0.4000000059604645,74.0,1.7000000476837158,3.299999952316284,2.700000047683716,0.0,0.23000000417232513,0.0,0.0,33.20000076293945,0.0,0.0,0.0
"2025-06-01 16:00:00+00:00","Paris",48.8566,2.3522,29.600000381469727,5.5,3.9000000953674316,156.0,6.699999809265137,0.4000000059604645,74.0,1.600000023841858,1.899999976158142,1.4500000476837158,0.0,0.20999999344348907,0.0,0.0,34.599998474121094,0.0,0.0,0.0
"2025-06-01 17:00:00+00:00","Paris",48.8566,2.3522,29.200000762939453,5.800000190734863,4.400000095367432,153.0,7.0,0.4000000059604645,73.0,1.7000000476837158,0.8500000238418579,0.75,1.0,0.25999999046325684,0.0,0.0,35.0,0.0,0.0,0.0
"2025-06-01 18:00:00+00:00","Paris",48.8566,2.3522,29.600000381469727,6.0,4.400000095367432,144.0,6.099999904632568,0.4000000059604645,74.0,1.7000000476837158,0.30000001192092896,0.25,1.0,0.4000000059604645,0.0,0.0,33.20000076293945,0.0,0.0,0.0
